Year,Month,dewey,counts
2016,06,100,4556
2016,06,200,2526
2016,06,300,12960
2016,06,400,1035
2016,06,500,8999
2016,06,600,20984
2016,06,700,35338
2016,06,800,5847
2016,06,900,11103
2016,07,0,147462
2016,07,100,4540
2016,07,200,2608
2016,07,300,13483
2016,07,400,1012
2016,07,500,9348
2016,07,600,21037
2016,07,700,37393
2016,07,800,5938
2016,07,900,11336
2016,08,0,150227
2016,08,100,4728
2016,08,200,2663
2016,08,300,13911
2016,08,400,1041
2016,08,500,8914
2016,08,600,20853
2016,08,700,38598
2016,08,800,6566
2016,08,900,11189
2016,09,0,140244
2016,09,100,4510
2016,09,200,2530
2016,09,300,13797
2016,09,400,1133
2016,09,500,8297
2016,09,600,20109
2016,09,700,33725
2016,09,800,6221
2016,09,900,10285
2016,10,0,146920
2016,10,100,4612
2016,10,200,2793
2016,10,300,14683
2016,10,400,1153
2016,10,500,9241
2016,10,600,20908
2016,10,700,33795
2016,10,800,6198
2016,10,900,10500
2016,11,0,141751
2016,11,100,4520
2016,11,200,2588
2016,11,300,14423
2016,11,400,1167
2016,11,500,8415
2016,11,600,19574
2016,11,700,33182
2016,11,800,6083
2016,11,900,10560
2016,12,0,125006
2016,12,100,4293
2016,12,200,2579
2016,12,300,12870
2016,12,400,904
2016,12,500,6840
2016,12,600,18227
2016,12,700,31797
2016,12,800,5766
2016,12,900,9711
