Year,Month,dewey,counts
2007,04-26,0,6190
2007,04-26,100,248
2007,04-26,200,222
2007,04-26,300,883
2007,04-26,400,58
2007,04-26,500,350
2007,04-26,600,1310
2007,04-26,700,1849
2007,04-26,800,471
2007,04-26,900,635
2007,04-27,0,5324
2007,04-27,100,193
2007,04-27,200,176
2007,04-27,300,773
2007,04-27,400,54
2007,04-27,500,301
2007,04-27,600,1120
2007,04-27,700,1523
2007,04-27,800,388
2007,04-27,900,678
2007,04-28,0,5327
2007,04-28,100,225
2007,04-28,200,257
2007,04-28,300,767
2007,04-28,400,59
2007,04-28,500,273
2007,04-28,600,1117
2007,04-28,700,1641
2007,04-28,800,363
2007,04-28,900,861
2007,04-29,0,2717
2007,04-29,100,81
2007,04-29,200,65
2007,04-29,300,443
2007,04-29,400,21
2007,04-29,500,210
2007,04-29,600,524
2007,04-29,700,746
2007,04-29,800,178
2007,04-29,900,319
2007,04-30,0,4980
2007,04-30,100,189
2007,04-30,200,197
2007,04-30,300,819
2007,04-30,400,73
2007,04-30,500,265
2007,04-30,600,1048
2007,04-30,700,1388
2007,04-30,800,403
2007,04-30,900,778
2007,05-01,0,4875
2007,05-01,100,206
2007,05-01,200,177
2007,05-01,300,714
2007,05-01,400,61
2007,05-01,500,313
2007,05-01,600,1190
2007,05-01,700,1675
2007,05-01,800,413
2007,05-01,900,739
2007,05-02,0,5459
2007,05-02,100,257
2007,05-02,200,243
2007,05-02,300,947
2007,05-02,400,64
2007,05-02,500,352
2007,05-02,600,1351
2007,05-02,700,1614
2007,05-02,800,428
2007,05-02,900,777
2007,05-03,0,5532
2007,05-03,100,228
2007,05-03,200,252
2007,05-03,300,900
2007,05-03,400,73
2007,05-03,500,366
2007,05-03,600,1361
2007,05-03,700,1744
2007,05-03,800,359
2007,05-03,900,745
2007,05-04,0,5037
2007,05-04,100,196
2007,05-04,200,164
2007,05-04,300,713
2007,05-04,400,63
2007,05-04,500,273
2007,05-04,600,1009
2007,05-04,700,1385
2007,05-04,800,352
2007,05-04,900,665
2007,05-05,0,5096
2007,05-05,100,254
2007,05-05,200,188
2007,05-05,300,709
2007,05-05,400,58
2007,05-05,500,371
2007,05-05,600,1034
2007,05-05,700,1691
2007,05-05,800,317
2007,05-05,900,653
2007,05-06,0,2460
2007,05-06,100,96
2007,05-06,200,99
2007,05-06,300,370
2007,05-06,400,31
2007,05-06,500,192
2007,05-06,600,559
2007,05-06,700,835
